FECHA,PRODUCTO_1,TIPO_CONTRATO_1,PRODUCTO_2,TIPO_CONTRATO_2,AJUSTE_POS1,AJUSTE_POS2,SPREAD,RELACION%
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,TRI Dolar MATba,TRI.ROS/SEP24,311.0,248.0,63.0,25.403
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,TRI Dolar MATba,TRI.ROS/DIC24,311.0,220.0,91.0,41.364
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,TRI Dolar MATba,TRI.ROS/ENE25,311.0,221.5,89.5,40.406
2024-08-06,SOJ Dolar MATba,SOJ.ROS/SEP24,TRI Dolar MATba,TRI.ROS/MAR25,311.0,223.0,88.0,39.462
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,MAI Disponible,MAI.ROS/DIS24,310.0,174.0,136.0,78.161
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,MAI Dolar MATba,MAI.ROS/SEP24,310.0,177.9,132.1,74.255
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,MAI Dolar MATba,MAI.ROS/DIC24,310.0,178.9,131.1,73.281
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,MAI Dolar MATba,MAI.ROS/ABR25,310.0,172.0,138.0,80.233
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,MAI Dolar MATba,MAI.ROS/JUL25,310.0,166.6,143.4,86.074
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,SOJ Disponible,SOJ.ROS/DIS24,310.0,310.5,-0.5,-0.161
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,SOJ Dolar MATba,SOJ.ROS/SEP24,310.0,311.0,-1.0,-0.322
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,SOJ Dolar MATba,SOJ.ROS/ENE25,310.0,307.5,2.5,0.813
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,SOJ Dolar MATba,SOJ.ROS/MAY25,310.0,285.0,25.0,8.772
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,SOJ Dolar MATba,SOJ.ROS/JUL25,310.0,289.0,21.0,7.266
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,TRI Disponible,TRI.ROS/DIS24,310.0,251.5,58.5,23.26
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,TRI Dolar MATba,TRI.ROS/SEP24,310.0,248.0,62.0,25.0
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,TRI Dolar MATba,TRI.ROS/DIC24,310.0,220.0,90.0,40.909
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,TRI Dolar MATba,TRI.ROS/ENE25,310.0,221.5,88.5,39.955
2024-08-06,SOJ Dolar MATba,SOJ.ROS/NOV24,TRI Dolar MATba,TRI.ROS/MAR25,310.0,223.0,87.0,39.013
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,MAI Disponible,MAI.ROS/DIS24,307.5,174.0,133.5,76.724
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,MAI Dolar MATba,MAI.ROS/SEP24,307.5,177.9,129.6,72.85
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,MAI Dolar MATba,MAI.ROS/DIC24,307.5,178.9,128.6,71.884
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,MAI Dolar MATba,MAI.ROS/ABR25,307.5,172.0,135.5,78.779
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,MAI Dolar MATba,MAI.ROS/JUL25,307.5,166.6,140.9,84.574
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,SOJ Disponible,SOJ.ROS/DIS24,307.5,310.5,-3.0,-0.966
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,SOJ Dolar MATba,SOJ.ROS/SEP24,307.5,311.0,-3.5,-1.125
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,SOJ Dolar MATba,SOJ.ROS/NOV24,307.5,310.0,-2.5,-0.806
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,SOJ Dolar MATba,SOJ.ROS/MAY25,307.5,285.0,22.5,7.895
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,SOJ Dolar MATba,SOJ.ROS/JUL25,307.5,289.0,18.5,6.401
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,TRI Disponible,TRI.ROS/DIS24,307.5,251.5,56.0,22.266
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,TRI Dolar MATba,TRI.ROS/SEP24,307.5,248.0,59.5,23.992
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,TRI Dolar MATba,TRI.ROS/DIC24,307.5,220.0,87.5,39.773
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,TRI Dolar MATba,TRI.ROS/ENE25,307.5,221.5,86.0,38.826
2024-08-06,SOJ Dolar MATba,SOJ.ROS/ENE25,TRI Dolar MATba,TRI.ROS/MAR25,307.5,223.0,84.5,37.892
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,MAI Disponible,MAI.ROS/DIS24,285.0,174.0,111.0,63.793
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,MAI Dolar MATba,MAI.ROS/SEP24,285.0,177.9,107.1,60.202
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,MAI Dolar MATba,MAI.ROS/DIC24,285.0,178.9,106.1,59.307
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,MAI Dolar MATba,MAI.ROS/ABR25,285.0,172.0,113.0,65.698
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,MAI Dolar MATba,MAI.ROS/JUL25,285.0,166.6,118.4,71.068
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,SOJ Disponible,SOJ.ROS/DIS24,285.0,310.5,-25.5,-8.213
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,SOJ Dolar MATba,SOJ.ROS/SEP24,285.0,311.0,-26.0,-8.36
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,SOJ Dolar MATba,SOJ.ROS/NOV24,285.0,310.0,-25.0,-8.065
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,SOJ Dolar MATba,SOJ.ROS/ENE25,285.0,307.5,-22.5,-7.317
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,SOJ Dolar MATba,SOJ.ROS/JUL25,285.0,289.0,-4.0,-1.384
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,TRI Disponible,TRI.ROS/DIS24,285.0,251.5,33.5,13.32
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,TRI Dolar MATba,TRI.ROS/SEP24,285.0,248.0,37.0,14.919
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,TRI Dolar MATba,TRI.ROS/DIC24,285.0,220.0,65.0,29.545
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,TRI Dolar MATba,TRI.ROS/ENE25,285.0,221.5,63.5,28.668
2024-08-06,SOJ Dolar MATba,SOJ.ROS/MAY25,TRI Dolar MATba,TRI.ROS/MAR25,285.0,223.0,62.0,27.803
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,MAI Disponible,MAI.ROS/DIS24,289.0,174.0,115.0,66.092
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,MAI Dolar MATba,MAI.ROS/SEP24,289.0,177.9,111.1,62.451
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,MAI Dolar MATba,MAI.ROS/DIC24,289.0,178.9,110.1,61.543
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,MAI Dolar MATba,MAI.ROS/ABR25,289.0,172.0,117.0,68.023
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,MAI Dolar MATba,MAI.ROS/JUL25,289.0,166.6,122.4,73.469
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,SOJ Disponible,SOJ.ROS/DIS24,289.0,310.5,-21.5,-6.924
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/SEP24,289.0,311.0,-22.0,-7.074
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/NOV24,289.0,310.0,-21.0,-6.774
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/ENE25,289.0,307.5,-18.5,-6.016
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,SOJ Dolar MATba,SOJ.ROS/MAY25,289.0,285.0,4.0,1.404
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,TRI Disponible,TRI.ROS/DIS24,289.0,251.5,37.5,14.911
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,TRI Dolar MATba,TRI.ROS/SEP24,289.0,248.0,41.0,16.532
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,TRI Dolar MATba,TRI.ROS/DIC24,289.0,220.0,69.0,31.364
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,TRI Dolar MATba,TRI.ROS/ENE25,289.0,221.5,67.5,30.474
2024-08-06,SOJ Dolar MATba,SOJ.ROS/JUL25,TRI Dolar MATba,TRI.ROS/MAR25,289.0,223.0,66.0,29.596
